,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,SYM,FW,WP$
31,Bush - Speech103 - Edited.txt,0.2314214463840399,4010.0,928.0,18.304878048780488,13.0,12.0,174.0,1.0,5.0,244.0,246.0,22.0,172.0,30.0,439.0,19.0,432.0,201.0,11.0,1.0,93.0,421.0,156.0,9.0,158.0,0.0,14.0,394.0,39.0,297.0,1.0,2.0,17.0,128.0,5.0,259.0,81.0,76.0,76.0,221.0,141.0,26.0,33.0,28.0,5.0,0.0,0.0,0.0
32,Bush - Speech57 - Edited.txt,0.26436319807151465,2489.0,658.0,18.716216216216218,15.0,3.0,113.0,0.0,0.0,129.0,148.0,34.0,106.0,12.0,239.0,14.0,267.0,129.0,4.0,2.0,63.0,234.0,85.0,7.0,92.0,2.0,4.0,267.0,26.0,212.0,2.0,3.0,11.0,80.0,1.0,150.0,51.0,52.0,65.0,151.0,83.0,17.0,22.0,5.0,0.0,0.0,0.0,1.0
33,Bush - Speech110 - Edited.txt,0.3744813278008299,964.0,361.0,16.348484848484848,4.0,3.0,34.0,0.0,1.0,48.0,66.0,7.0,35.0,4.0,97.0,5.0,104.0,65.0,2.0,0.0,19.0,102.0,51.0,1.0,32.0,0.0,3.0,83.0,8.0,75.0,0.0,0.0,3.0,43.0,2.0,56.0,14.0,29.0,22.0,40.0,40.0,5.0,13.0,3.0,1.0,0.0,0.0,0.0
34,Bush - Speech7 - Edited.txt,0.2845714285714286,1750.0,498.0,17.025862068965516,12.0,4.0,84.0,0.0,0.0,109.0,116.0,29.0,106.0,10.0,145.0,8.0,160.0,78.0,1.0,3.0,49.0,134.0,76.0,2.0,42.0,0.0,2.0,223.0,14.0,151.0,0.0,1.0,14.0,62.0,6.0,118.0,66.0,24.0,44.0,96.0,52.0,9.0,14.0,11.0,0.0,0.0,0.0,0.0
35,Bush - Speech80 - Edited.txt,0.2441534144059869,3207.0,783.0,17.509708737864077,19.0,6.0,128.0,1.0,6.0,189.0,206.0,63.0,164.0,32.0,290.0,14.0,333.0,137.0,7.0,6.0,60.0,274.0,133.0,7.0,100.0,0.0,5.0,391.0,46.0,239.0,1.0,0.0,23.0,99.0,5.0,190.0,102.0,70.0,56.0,209.0,87.0,17.0,29.0,10.0,6.0,0.0,0.0,0.0
36,Bush - Speech120 - Edited.txt,0.21414538310412573,3054.0,654.0,19.238636363636363,3.0,12.0,169.0,0.0,1.0,154.0,176.0,25.0,128.0,13.0,331.0,10.0,307.0,108.0,15.0,1.0,84.0,300.0,98.0,4.0,111.0,2.0,9.0,343.0,23.0,187.0,3.0,0.0,12.0,144.0,6.0,238.0,43.0,65.0,90.0,190.0,98.0,27.0,25.0,13.0,1.0,0.0,0.0,1.0
37,Bush - Speech60 - Edited.txt,0.2200488997555012,2863.0,630.0,16.024875621890548,9.0,9.0,129.0,0.0,6.0,147.0,201.0,49.0,133.0,9.0,325.0,10.0,247.0,142.0,5.0,0.0,70.0,302.0,68.0,10.0,76.0,1.0,9.0,317.0,26.0,188.0,1.0,3.0,17.0,102.0,11.0,216.0,52.0,59.0,54.0,180.0,108.0,18.0,28.0,23.0,8.0,0.0,0.0,0.0
38,Bush - Speech11 - Edited.txt,0.2883959044368601,2344.0,676.0,19.66417910447761,13.0,5.0,104.0,0.0,2.0,154.0,134.0,36.0,119.0,17.0,212.0,13.0,239.0,144.0,5.0,1.0,67.0,219.0,76.0,9.0,79.0,0.0,1.0,249.0,28.0,184.0,4.0,0.0,9.0,87.0,6.0,159.0,64.0,33.0,62.0,115.0,59.0,15.0,17.0,12.0,2.0,0.0,2.0,1.0
39,Bush - Speech47 - Edited.txt,0.29753015508328545,1741.0,518.0,20.92391304347826,0.0,4.0,64.0,0.0,2.0,90.0,92.0,24.0,77.0,8.0,217.0,6.0,208.0,93.0,3.0,5.0,24.0,204.0,100.0,17.0,63.0,1.0,2.0,153.0,21.0,87.0,5.0,3.0,2.0,59.0,1.0,82.0,30.0,27.0,42.0,95.0,58.0,8.0,6.0,8.0,2.0,0.0,0.0,0.0
40,Bush - Speech94 - Edited.txt,0.28577817531305905,2236.0,639.0,18.8796992481203,10.0,11.0,82.0,0.0,3.0,140.0,133.0,14.0,108.0,14.0,227.0,11.0,232.0,122.0,8.0,0.0,41.0,246.0,77.0,10.0,76.0,3.0,5.0,215.0,16.0,166.0,4.0,1.0,20.0,79.0,1.0,127.0,53.0,60.0,41.0,127.0,80.0,11.0,19.0,18.0,3.0,0.0,0.0,0.0
41,Bush - Speech111 - Edited.txt,0.3139178418148375,1631.0,512.0,19.157894736842106,11.0,5.0,63.0,0.0,4.0,93.0,95.0,6.0,71.0,8.0,156.0,9.0,180.0,86.0,5.0,0.0,40.0,185.0,60.0,7.0,61.0,3.0,2.0,162.0,13.0,111.0,3.0,0.0,9.0,58.0,3.0,98.0,32.0,33.0,45.0,99.0,48.0,11.0,8.0,12.0,4.0,0.0,0.0,0.0
42,Bush - Speech37 - Edited.txt,0.26054590570719605,2821.0,735.0,18.538011695906434,16.0,8.0,98.0,1.0,0.0,176.0,171.0,43.0,133.0,17.0,292.0,8.0,307.0,149.0,5.0,1.0,53.0,287.0,119.0,6.0,97.0,1.0,4.0,321.0,29.0,206.0,4.0,2.0,4.0,100.0,6.0,159.0,90.0,51.0,54.0,156.0,77.0,12.0,15.0,14.0,0.0,0.0,0.0,0.0
